                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 2.0476,                 1.5054,                 1.0919,                0.18089,                0.19924,                0.12179,                 0.0393,                 2.5182,                 2.3373,                 1.2911,              0.0097901,              0.0097901,              0.0097901
                    108,                 2.0245,                 1.4673,                 1.0916,                0.20709,                0.17026,                0.12275,                 0.0393,                 2.5181,                  2.404,                 1.2999,              0.0097881,              0.0097881,              0.0097881
                    109,                 2.0112,                 1.4826,                 1.0837,                0.20292,                0.17894,                 0.1254,                0.04037,                 2.5181,                 2.4046,                 1.2969,              0.0097862,              0.0097862,              0.0097862
                    110,                 1.9793,                 1.4607,                 1.0813,                0.19256,                0.19865,                0.11968,                  0.037,                 2.5477,                 2.3633,                 1.3166,              0.0097842,              0.0097842,              0.0097842
                    111,                 1.9973,                 1.4656,                 1.0728,                0.16917,                0.19094,                0.10954,                0.03566,                 2.5539,                 2.4602,                  1.319,              0.0097822,              0.0097822,              0.0097822
                    112,                 2.0152,                 1.4703,                  1.082,                0.18776,                0.19452,                0.11953,                0.03853,                 2.5389,                 2.5081,                 1.2872,              0.0097802,              0.0097802,              0.0097802
                    113,                  1.974,                 1.4526,                 1.0707,                0.19485,                0.20598,                0.11861,                0.03846,                 2.5478,                 2.4677,                 1.3149,              0.0097782,              0.0097782,              0.0097782
                    114,                 1.9726,                 1.4278,                 1.0661,                0.15715,                0.22616,                0.11622,                0.03601,                 2.5927,                 2.5324,                 1.3301,              0.0097763,              0.0097763,              0.0097763
                    115,                  1.991,                 1.4355,                 1.0694,                0.17958,                0.21726,                0.11903,                0.03815,                 2.5883,                 2.4274,                 1.3531,              0.0097743,              0.0097743,              0.0097743
                    116,                 1.9607,                  1.412,                 1.0645,                0.19209,                0.21571,                0.12367,                0.04139,                 2.4884,                 2.4048,                 1.2996,              0.0097723,              0.0097723,              0.0097723
                    117,                 1.9748,                 1.4241,                 1.0741,                0.16309,                0.18886,                0.10971,                0.03724,                 2.5457,                 2.4523,                 1.3236,              0.0097703,              0.0097703,              0.0097703
                    118,                 1.9425,                 1.3898,                 1.0526,                0.21334,                 0.1669,                0.11565,                0.03489,                 2.5759,                 2.4252,                 1.3069,              0.0097683,              0.0097683,              0.0097683
                    119,                 1.9868,                 1.4257,                  1.055,                0.13714,                0.20938,                0.09749,                0.03062,                 2.6101,                  2.451,                  1.352,              0.0097664,              0.0097664,              0.0097664
                    120,                 1.9319,                 1.3689,                 1.0591,                0.16343,                 0.1941,                0.10504,                0.03279,                 2.5316,                 2.4733,                 1.3096,              0.0097644,              0.0097644,              0.0097644
                    121,                 1.9604,                 1.3981,                 1.0659,                0.19015,                0.16286,                0.11034,                0.03512,                  2.512,                 2.4858,                 1.3121,              0.0097624,              0.0097624,              0.0097624
                    122,                 1.9472,                 1.4052,                 1.0654,                0.18688,                0.18838,                0.11283,                0.03625,                 2.5454,                 2.4704,                 1.3158,              0.0097604,              0.0097604,              0.0097604
                    123,                 1.9708,                 1.4252,                 1.0716,                0.18974,                 0.1898,                0.12684,                0.04029,                 2.5427,                 2.4068,                 1.3101,              0.0097584,              0.0097584,              0.0097584
                    124,                 1.9047,                 1.3804,                 1.0501,                0.17893,                0.18342,                0.11765,                0.03811,                 2.5371,                 2.5392,                 1.3192,              0.0097565,              0.0097565,              0.0097565
                    125,                  1.935,                 1.3779,                 1.0477,                0.21331,                0.15811,                0.11317,                0.03553,                  2.591,                 2.4552,                 1.3249,              0.0097545,              0.0097545,              0.0097545
                    126,                 1.9621,                 1.4057,                 1.0645,                0.14389,                0.20785,                  0.114,                0.03613,                 2.5426,                 2.5039,                 1.3218,              0.0097525,              0.0097525,              0.0097525
                    127,                 1.9149,                  1.355,                 1.0483,                0.17225,                0.20429,                0.11695,                0.03477,                 2.5997,                 2.5993,                 1.3328,              0.0097505,              0.0097505,              0.0097505
                    128,                 1.9221,                 1.3561,                 1.0541,                0.15119,                0.21775,                0.11807,                0.03899,                 2.5121,                 2.4699,                 1.3153,              0.0097485,              0.0097485,              0.0097485
                    129,                 1.9503,                 1.3929,                 1.0651,                0.17034,                0.21865,                0.10604,                 0.0319,                  2.587,                 2.6137,                 1.3216,              0.0097466,              0.0097466,              0.0097466
                    130,                  1.934,                 1.3706,                 1.0612,                0.16286,                 0.1858,                 0.1079,                0.03249,                 2.6132,                  2.457,                 1.3316,              0.0097446,              0.0097446,              0.0097446
                    131,                 1.8917,                 1.3275,                 1.0391,                 0.1752,                0.17125,                0.11326,                0.03635,                 2.5627,                 2.4954,                 1.3294,              0.0097426,              0.0097426,              0.0097426
                    132,                   1.91,                 1.3334,                 1.0492,                0.15906,                0.20149,                0.10811,                0.03256,                  2.649,                 2.5364,                 1.3401,              0.0097406,              0.0097406,              0.0097406
                    133,                  1.917,                 1.3541,                 1.0458,                0.16881,                0.22231,                0.12989,                0.03771,                 2.5984,                 2.4591,                 1.3284,              0.0097386,              0.0097386,              0.0097386
